,country,count,region,CODE
0,Brazil,10,South America,BRA
1,UK,8,Unknown,None
2,US,6,Unknown,None
3,Europe,5,Unknown,None
4,Ukraine,3,Europe,UKR
5,Malaysia,3,Asia,MYS
6,Sabah,2,Unknown,None
7,South,2,Unknown,None
8,Russia,2,Europe,None
9,North,2,Unknown,None
10,Rio,2,Unknown,None
11,Norway,2,Europe,NOR
12,Australia,2,Oceania,AUS
13,China,2,Asia,CHN
14,Elba,1,Unknown,None
15,Poland,1,Europe,POL
16,Beirut,1,Unknown,None
17,Denmark,1,Europe,DNK
18,Qatar,1,Asia,QAT
19,Italy,1,Europe,ITA
20,Kikeh,1,Unknown,None
21,Bornholm,1,Unknown,None
22,Thailand,1,Asia,THA
23,Louisiana,1,Unknown,None
24,Ireland,1,Europe,IRL
25,Lagos,1,Unknown,None
26,Cork,1,Unknown,None
27,Clare,1,Unknown,None
28,West,1,Unknown,None
29,Portugal,1,Europe,PRT
30,Sweden,1,Europe,SWE
31,Paris,1,Unknown,None
32,Africa,1,Unknown,None
33,Bintulu,1,Unknown,None
34,Argentina,1,South America,ARG
35,Santos,1,Unknown,None
36,Ruku,1,Unknown,None
37,Orange,1,Unknown,None
38,Kudu,1,Unknown,None
39,Namibia,1,Africa,NAM
40,Gumusut,1,Unknown,None
41,Geronggong,1,Unknown,None
42,East,1,Unknown,None
43,Kakap,1,Unknown,None
44,Jagus,1,Unknown,None
45,Queensland,1,Unknown,None
46,Campos,1,Unknown,None
47,Parque,1,Unknown,None
48,Stavanger,1,Unknown,None
49,Acu,1,Unknown,None
50,New,1,Unknown,None
51,Sarawak,1,Unknown,None
52,Karoo,1,Unknown,None
53,London,1,Unknown,None
